LAT,LON,SPEED,COURSE,HEADING,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,DWT,DATETIME,PORT,date,week_nb,ship_type,port,is_parked,LAT_lag,LON_lag,vessel_distance
59.8551,30.49761,0,0,511,CLASS B,RU,28,REDUT,3,4689892,7,NA,2016-12-15T02:51:05Z,st_petersburg,2016-12-15,50,Tug,St. Petersburg,1,59.8552,30.49751,12.456823790370075
57.70469,11.65831,0,94,511,CLASS B,SE,8,VIKING,9,4691561,2,NA,2016-12-15T00:05:05Z,gothenborg,2016-12-15,50,Pleasure,gothenborg,1,57.70477,11.65825,9.593949359097396
55.72585,21.09099,76,300,300,RUKGD>LTKLJ>DKRNN,VC,79,RUBYN,7,469377,11,2450,2016-12-15T04:25:07Z,klaipeda,2016-12-15,50,Cargo,Klaipeda,0,55.71498,21.11143,1762.5575739151686
54.53049,18.53539,7,216,231,GDYNIA,VC,77,NINA 1,7,469525,9,1485,2016-12-20T09:31:07Z,gdynia,2016-12-20,51,Cargo,Gdynia,0,54.53569,18.56993,2304.857196429405
54.4498,18.43688,0,31,511,CLASS B,PL,10,CARUZZI,9,4702404,3,NA,2016-12-13T12:19:07Z,gdynia,2016-12-13,50,Pleasure,Gdynia,1,54.45473,18.44323,685.6246601904152
54.39977,18.6807,81,13,511,CLASS B,JM,0,EUPHORIA,9,4704897,0,NA,2016-12-14T10:51:01Z,gdansk,2016-12-14,50,Pleasure,Gdańsk,0,54.38993,18.6696,1310.4921414038527
59.90993,30.26454,10,7,511,ST.PETERBURG,RU,79,VOVAN,8,4709602,13,NA,2016-12-19T08:29:04Z,st_petersburg,2016-12-19,51,Tanker,St. Petersburg,0,59.90969,30.26224,131.11722939652827
57.82967,11.6354,84,189,189,KALLANDSO,SE,19,TRELLE,3,4710387,6,NA,2016-12-19T12:59:05Z,gothenborg,2016-12-19,51,Tug,gothenborg,0,57.85458,11.64596,2842.684169524112
59.91502,30.0328,111,291,291,FIHKO,FI,199,AUTO BAY,7,5107,32,6077,2016-12-14T17:37:04Z,st_petersburg,2016-12-14,50,Cargo,St. Petersburg,0,59.90988,30.05801,1518.798749312272
55.86265,20.81833,106,325,322,TURKU,FI,101,AURA,3,5381,18,4600,2016-12-19T21:49:14Z,klaipeda,2016-12-19,51,Tug,Klaipeda,0,55.85232,20.83309,1474.029904917212
57.6536,11.7282,76,251,247,KORSOE,FI,74,RAMONA,7,5396,10,1529,2016-12-17T12:07:06Z,gothenborg,2016-12-17,51,Cargo,gothenborg,0,57.65665,11.74505,1059.424504315585
54.645,19.875,50,129,129,NaN,NaN,NA,[SAT-AIS],3,5413612163586,NA,NA,2016-12-15T19:07:03Z,kalingrad,2016-12-15,50,Tug,Kalingrad,0,54.635,19.925,3408.033340967131
59.89115,30.20763,49,216,204,RU LED,MT,189,KNOSSOS,7,547677,32,56763,2016-12-16T09:53:03Z,st_petersburg,2016-12-16,51,Cargo,St. Petersburg,0,59.89617,30.21417,667.5663044784495
59.88737,30.17005,60,111,111,ST PETERSBURG,FI,188,FINNTIDE,7,5558,26,11029,2016-12-20T03:17:03Z,st_petersburg,2016-12-20,51,Cargo,St. Petersburg,0,59.89004,30.15668,803.6565754849249
59.91424,30.03777,103,289,291,HELSINKI,FI,188,FINNWAVE,7,5567,26,11029,2016-12-15T17:29:03Z,st_petersburg,2016-12-15,50,Cargo,St. Petersburg,0,59.90972,30.06001,1339.279394596583
